
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
6A:7B:E9:20:CA:F7, 2025-09-02 00:26:53, 2025-09-02 00:27:09,  1, 360, OPN, ,   , -34,       42,      932,  10.  2.  0.  1,   8, KLU_WIFI, 
AA:7B:E9:20:C7:EB, 2025-09-02 00:26:53, 2025-09-02 00:27:09,  1, 360, OPN, ,   , -17,       44,       41,  10.  2.  0.205,   8, KLU_WIFI, 
6A:7B:E9:20:D8:17, 2025-09-02 00:26:53, 2025-09-02 00:27:09,  1, 360, OPN, ,   , -70,        8,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
FA:7B:E9:20:C6:50, 2025-09-02 00:26:53, 2025-09-02 00:27:09,  1, 360, OPN, ,   , -67,       15,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
AA:7B:E9:20:CB:5B, 2025-09-02 00:26:53, 2025-09-02 00:27:09,  1, 360, OPN, ,   , -66,       13,        4,  10.  2. 22.252,   8, KLU_WIFI, 
8A:7B:E9:20:C8:A9, 2025-09-02 00:26:53, 2025-09-02 00:27:09,  1, 360, OPN, ,   , -72,        3,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
1A:7B:E9:20:D7:C2, 2025-09-02 00:26:53, 2025-09-02 00:27:09,  6, 360, OPN, ,   , -51,       39,       12,  10.  2. 22.252,   8, KLU_WIFI, 
8A:7B:E9:20:CA:39, 2025-09-02 00:26:53, 2025-09-02 00:27:09,  6, 360, OPN, ,   , -40,       49,        9,  10.  2.  0.167,   8, KLU_WIFI, 
DA:7B:E9:20:D7:5E, 2025-09-02 00:26:54, 2025-09-02 00:27:09,  6, 360, OPN, ,   , -63,       16,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
6A:7B:E9:20:CC:37, 2025-09-02 00:26:54, 2025-09-02 00:27:09,  6, 360, OPN, ,   , -70,        3,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
5A:7B:E9:20:D4:B6, 2025-09-02 00:26:54, 2025-09-02 00:27:09,  6, 360, OPN, ,   , -60,       39,        8,  10.  2.  0.167,   8, KLU_WIFI, 
BA:7B:E9:20:D0:9C, 2025-09-02 00:26:54, 2025-09-02 00:27:09,  6, 360, OPN, ,   , -59,       19,        9,  10.  2. 22.252,   8, KLU_WIFI, 
9A:7B:E9:20:CB:BA, 2025-09-02 00:26:54, 2025-09-02 00:27:09, 11, 360, OPN, ,   , -57,       31,        5,  10.  2.  0.  1,   8, KLU_WIFI, 
6A:7B:E9:20:D7:77, 2025-09-02 00:26:54, 2025-09-02 00:27:09, 11, 360, OPN, ,   , -51,       43,       20,  10.  2.  0.  1,   8, KLU_WIFI, 
6A:7B:E9:20:C9:17, 2025-09-02 00:26:54, 2025-09-02 00:27:10, 11, 360, OPN, ,   , -64,       29,      680,  10.  2.  0.  1,   8, KLU_WIFI, 
5A:7B:E9:20:CD:86, 2025-09-02 00:26:54, 2025-09-02 00:27:09, 11, 360, OPN, ,   , -64,       23,       20,  10.  2.  0.  1,   8, KLU_WIFI, 
5A:7B:E9:20:CC:46, 2025-09-02 00:26:54, 2025-09-02 00:27:09, 11, 360, OPN, ,   , -49,       15,       20,  10.  2.  0.  1,   8, KLU_WIFI, 
DA:7B:E9:20:CB:2E, 2025-09-02 00:26:55, 2025-09-02 00:27:09, 11, 360, OPN, ,   , -58,       22,       21,  10.  2. 22.252,   8, KLU_WIFI, 
5A:8F:4B:2D:FF:FE, 2025-09-02 00:26:56, 2025-09-02 00:27:09,  5, 360, WPA3 WPA2, CCMP, SAE PSK, -76,        2,        0,   0.  0.  0.  0,  15, Dinesh Ramineni, 
5A:7B:E9:20:C8:36, 2025-09-02 00:27:00, 2025-09-02 00:27:00, 11, 360, OPN, ,   , -73,        2,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
7A:7B:E9:20:D4:48, 2025-09-02 00:27:00, 2025-09-02 00:27:00, 11, 360, OPN, ,   , -72,        1,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
DA:7B:E9:20:CA:8E, 2025-09-02 00:27:00, 2025-09-02 00:27:01, 11, 360, OPN, ,   , -67,        2,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
0A:7B:E9:20:D7:D1, 2025-09-02 00:27:01, 2025-09-02 00:27:07, 11, 360, OPN, ,   , -69,        2,        1,   0.  0.  0.  0,   8, KLU_WIFI, 
5A:7B:E9:20:C8:D6, 2025-09-02 00:27:01, 2025-09-02 00:27:09,  6, 360, OPN, ,   , -67,        2,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
EA:41:F4:93:D3:0F, 2025-09-02 00:27:01, 2025-09-02 00:27:01,  6, 130, WPA2, CCMP, PSK, -85,        2,        0,   0.  0.  0.  0,   6, deepak, 
4A:7B:E9:20:C6:65, 2025-09-02 00:27:01, 2025-09-02 00:27:09,  6, 360, WPA2 WPA, CCMP, PSK, -64,        7,        0,   0.  0.  0.  0,   7, Room-23, 
BA:7B:E9:20:CB:EC, 2025-09-02 00:27:01, 2025-09-02 00:27:01,  6, 360, OPN, ,   , -72,        1,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
1A:7B:E9:20:D8:62, 2025-09-02 00:27:01, 2025-09-02 00:27:01,  6, 360, OPN, ,   , -68,        1,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
CA:7B:E9:20:C8:BD, 2025-09-02 00:27:03, 2025-09-02 00:27:04,  1, 360, OPN, ,   , -67,        2,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
BA:7B:E9:20:D8:1C, 2025-09-02 00:27:03, 2025-09-02 00:27:09,  6, 360, OPN, ,   , -70,        2,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
1A:7B:E9:20:CB:E2, 2025-09-02 00:27:05, 2025-09-02 00:27:09,  1, 360, OPN, ,   , -67,        3,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
9A:7B:E9:20:CC:FA, 2025-09-02 00:27:09, 2025-09-02 00:27:09,  1, 360, OPN, ,   , -68,        2,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
2A:7B:E9:20:D4:93, 2025-09-02 00:27:09, 2025-09-02 00:27:09,  1, 360, OPN, ,   , -68,        1,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
4A:7B:E9:20:CC:55, 2025-09-02 00:27:09, 2025-09-02 00:27:09,  1, 360, OPN, ,   , -72,        1,        0,   0.  0.  0.  0,   8, KLU_WIFI, 
